Resource ID(s),Unique Identifier,Item Title,Date,Date Type,Digitization Nomination,Checksum Type,Publisher,Subject,Contributor,Description,Rights Statement,Storage Location,Physical Format,Generations,Condition,Asset Type,Channel Configuration Physical,Rights Summary,Language,Channel Configuration Digital,Preservation Sample Rate,Preservation Bit Depth,Digitization Grant,Duration Physical,Written notes on casing,Removal Nomination,Related Item IDs,Ancillary Materials,Program Name,Digital QC notes,Preservation Filename,Preservation File Location,Preservation Filesize,Checksum Value,Digitization Vendor,KBOO episode ID,Proxy Filename,Temporal Coverage,Date Digitized,Duration Digital,Audio Time Start,Spatial Coverage,Identifier2,IdentifierSource2
13847,7-1562,Ed Edmo,TBD with digitization,unknown,spirit mountain,,KBOO,"Indigenous, Poetry",Ed Edmo,"Ed Edmo is a Shoshone-Bannock poet, playwright, performer, traditional storyteller, tour guide and lecturer on Northwest tribal culture","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,Uneven tape pack; Mold/Fungus; No proper tape leader head,,,Saleable,,,,,Spirit Mountain Community Fund,,,,,,,,,,,,,,,,,,,,,
13229,7-0896,Emily Benedek on Navajo-Hopi land dispute,TBD with digitization,unknown,erin's spirit mountain nomination,,,Indigenous,Emily Benedek,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Saleable,,,,,,00:30:00,,,,,,,,,,,,,,,,,,,,
12982,7-0779,John Stockwell and Bill Meeans on Ben Linder,TBD with digitization,unknown,erin's spirit mountain nomination,,,"Government/Politics, Military/Veterans, latin america",Ben Linder,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Saleable,,,,,,00:25:00,,,,,,,,,,,,,,,,,,,,
11870,5-0078,Marge Piercy interview,TBD with digitization,unknown,erin's spirit mountain nomination,,,Fiction,Marge Piercy,intvw. at KBOO,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Saleable,,,,,,00:15:00,,,,,,,,,,,,,,,,,,,,
11365,10-0938,10-0938 title,TBD with digitization,unknown,spirit mountain,,,"African American, Government/Politics",,civil rights activisttells his story,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Saleable,,,,,,01:00:00,Alan B.,,,,,,,,,,,,,,,,,,,
11205,10-0781,Ward Churchill at Laughing Horse Books,TBD with digitization,unknown,erin's spirit mountain nomination,,,"Indigenous, Police",Ward Churchill,Discussion with audience,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,No proper tape leader head,,,Saleable,,,,,,00:59:00,,,,,,,,,,,,,,,,,,,,
16590,CD-2529,wroteTheMiddlesteins,2013-08-08,unknown,,,,Fiction,Jami Attenberg,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:29:00,,,,,,,,,,,,,,,,,,,,
16588,CD-2527,"Steven Wax, AndyWorthington on Guantanamo",2013-08-07,unknown,,,,"War/Peace, Prison",Brian Willson,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:19,,,,,,,,,,,,,,,,,,,,
16587,CD-2526,CD-2526 title,2013-08-06,unknown,,,,War/Peace,Dennis Kucinich,on militarism & violence,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Non-Saleable,,,,,,00:59:00,,,,,,,,,,,,,,,,,,,,
16589,CD-2528,photographer,2013-07-30,unknown,,,,Arts/Culture,Holly Andres,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:29:00,,,,,,,,,,,,,,,,,,,,
16583,CD-2522,of Prepare portland on personal safety,2013-07-12,unknown,,,,Law/Courts/Crime,Lia Nagase,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:57:00,,,,,,,,,,,,,,,,,,,,
16580,CD-2519,pilot hurt by AgentOrange in Vietnam,2013-07-12,unknown,,,,"War/Peace, Health, Environment/Climate",Wes Carter,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:57:00,,,,,,,,,,,,,,,,,,,,
16582,CD-2521,pruning and espalliering,2013-07-10,unknown,,,,Agriculture,Jim Gilbert,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:57:00,,,,,,,,,,,,,,,,,,,,
16585,CD-2524,wroteTempleGrove-env vs logger vs nativeAms,2013-06-19,unknown,,,,Fiction,Scott Elliot,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:29:01,,,,,,,,,,,,,,,,,,,,
16570,CD-2509,wrote 'Cha-Ching',2013-05-02,unknown,,,,Fiction,Ali Liebgott,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:24:09,,,,,,,,,,,,,,,,,,,,
16564,CD-2503,members of NatAllianceMen.Health on treatment,2013-04-29,unknown,,,,Health,Dr. Jim Phelps,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:57:15,,,,,,,,,,,,,,,,,,,,
16571,CD-2510,wrote BringingHomeMulligan on WWII,2013-04-19,unknown,,,,War/Peace,Dale Maharidge,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16572,CD-2511,HomeOrchardSociety-fruit,2013-03-13,unknown,,,,Agriculture,Joanie Cooper,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16574,CD-2513,of Depave on removing asphalt parking lots,2013-03-01,unknown,,,,"Transportation, Environment/Climate",Eric Rosewall,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:00,,,,,,,,,,,,,,,,,,,,
16573,CD-2512,new nat'l park in Congo,2013-03-01,unknown,,,,"Environment/Climate, Global Affairs",Roger Peet,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:28:00,,,,,,,,,,,,,,,,,,,,
16575,CD-2514,healthy food at CoffeeCreek women's prison,2013-02-25,unknown,,,,"Food, Prison, Women",Linda Drach,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:28:22,,,,,,,,,,,,,,,,,,,,
16577,CD-2516,weeds,2013-02-13,unknown,,,,Agriculture,Mitch Bixby,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:00,,,,,,,,,,,,,,,,,,,,
16578,CD-2517,photography-scenes in art museums,2013-01-08,unknown,,,,Arts/Culture,Christopher Rauschenberg,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:28:00,,,,,,,,,,,,,,,,,,,,
16476,CD-2425,on different views of blacks & whites on many issu,2012-12-19,unknown,,,,"Government/Politics, African American",Daniel Byrd,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16581,CD-2520,interview - city commissioner about to retire,2012-12-13,unknown,,,,Government/Politics,Randy Leonard,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:57:00,,,,,,,,,,,,,,,,,,,,
16576,CD-2515,"CarolynBreece, TimWessels on bees",2012-12-12,unknown,,,,"Agriculture, Environment/Climate",Rosanna Mattingly,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:00,,,,,,,,,,,,,,,,,,,,
16563,CD-2502,suicide,2012-12-12,unknown,,,KBOO,Health,Will Hall (KBOO),,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:57:00,,,,,,,,,,,,,,,,,,,,
16569,CD-2508,coal by railroad to Pacific ports,2012-12-11,unknown,,,,"Environment/Climate, Transportation",Dan Sears,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:58:00,,,,,,,,,,,,,,,,,,,,
16493,CD-2442,editor of Yes Magazine,2012-12-08,unknown,,,,,Madeline Ostrander,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Saleable,,,,,,00:11:00,,,,,,,,,,,,,,,,,,,,
