Resource ID(s),itemTitle,rightsStatement,publisher,digitizationNomination,originalCarrierLocation,channelConfigurationPhysical,physicalFormat,durationPhysical,proxyFilename,preservationFilename,filesize,channelConfigurationDigital,encoding,sampleRate,bitDepth,checksumString,checksumType,assetIdentifier,date,dateType,contributor,Subject,description,epsIdentifier,rightsSummary,ancillaryMaterials,coverageTemporal,coverageSpatial,generations,Genre,dispositionNomination,fileLocation,relatedInstantiationID,durationDigital,condition,dateDigitized,digitalQC,identifier2,identifierSource2,instantiationTimeStart,intellectualAssetType
132,Ilahee Lecture #1 with Earl Blumenauer,,KBOO,digitized in house,KBOO Archives Room,Mono,Minidisc,01:43:10,kboo_MD-187_20060125.mp3,kboo_MD-187_20060125.wav,521 MB,mono,wav,44.1 kHz,16 bits,8C929F909C8EEB6307D2A47D168094B1,md5,MD-187,2006-01-25,unknown,Ames Howard Kunstler,Energy/Natural Resources,"The first 10ish minutes are just background noise. This is a lecture series about oil and water. Earl Blumenauer speaks about agriculture among various other subjects. Then Jim Kuntsler speaks about how the world is changing and how it will look in a decade or so. Talking about depression, rebuilding the railroad system, Arizona drying up a disappearing, cars becoming obsolete or much less viable for most people. This is all about oil and what will happen when there is no more oil.",,,,,,,,,,,,,,,,,,
131,Powell's Bookstore: John Perkins speaks on Confessions of an Economic Hitman (2004),,KBOO,digitized in house,KBOO Archives Room,Mono,Minidisc,01:07:41,kboo_MD-186_20060122.mp3,kboo_MD-186_20060122.wav,342 MB,mono,wav,44.1 kHz,16 bits,32C9765A7D263DD10BDD2DB0DDDF7414,md5,MD-186,2006-01-22,unknown,John Perkins,"Economy, Corporations","Author John Perkins speaks about his new book, Confessions of an Economic Hitman. The book is about world history from WWII to Post 9/11. Perkins focuses on four points 1. since WWII we have created a world government (corporatetocracy) 2. blended with 1. 3. In the process of building the empire America has gone against all of its own principles. 4. Today we live in a highly connected world where all resources for peace are in our hands. This speech is focused on how to turn the world around. Thinks everyone deserves equal opportunity. Talks about economic hitmen will loan money to third world countries, then when the country cannot repay the loan, the hitmen go in and ask for favors. Gives various examples throughout the talk. Including the CIA working with Saddam Hussein.",,,,,,,,,,,,,,,,,,
130,Richard Heinberg at the First Unitarian Church,,KBOO,digitized in house,KBOO Archives Room,Stereo,Minidisc,01:36:42,kboo_MD-185_20060120.mp3,kboo_MD-185_20060120.wav,976 MB,stereo,wav,44.1 kHz,16 bits,929294A1AD460FEAA9753683FDFB9160,md5,MD-185,2006-01-20,unknown,Richard Heinberg,"Activism, Environment/Climate","Heinberg talks about natural oil, capitalism, science and how they all effect nature and our coming future. He talks about fossil fuels and the Industrial Revolution and how it became hell on the environment. http://kboo.fm/audio/by/title/richard_heinberg_options_and_actions_for_a_post-carbon_world",,,,,,,,,,,,,,,,,,
129,The Destruction of the Trade Towers,,KBOO,digitized in house,KBOO Archives Room,Stereo,Minidisc,00:28:23,kboo_MD-184_20051015.mp3,kboo_MD-184_20051015.wav,287 MB,stereo,wav,44.1 kHz,16 bits,BE117A60147F74770085A3415C629ACA,md5,MD-184,2005-10-15,unknown,"David Ray Griffin, Mel Reslor","Activism, Government/Politics",Part 1. Griffin continues his speech about the destruction of the Twin Towers and the government knowledge of the tragedy.,eps00125,,,,,,,,,,,,,,,,,
128,"Howard Lyman at the First Unitarian Church of Portland, Oregon",,KBOO,digitized in house,KBOO Archives Room,Mono,Minidisc,01:07:22,kboo_MD-183_20040428.mp3,kboo_MD-183_20040428.wav,340 MB,mono,wav,44.1 kHz,16 bits,149C6F0F23558E07F9359D65D37B4683,md5,MD-183,2004-04-28,unknown,Howard Lyman,"Activism, Food, Agriculture","Howard Lyman at the First Unitarian Church speaks about a healthier environment for our children and grandchildren. He begins by talking about how people should be vegetarian. Talks about how we are in crisis with food and how if we keep going at this rate there will be nothing left for future generations. He talks about the changing landscape of the west and how it affects the animals living there. He talks about his past struggles in college and how he wanted to be a farmer but did not know what he was doing. He originally wanted to run the farm like an agri-business?? he was successful (called himself the Trump of agriculture). Then he was paralyzed from the waist down from a tumor and it changed his life. He became a vegan and tried to regain the farm that he grew up on. Thinks we as a country need to change the way people are taught, he wants to show them and not just yell at them. Talks about mad cow disease and its origins. Talks about how he was being sued along with Oprah for food disparagement. But the FDA banned the practice the were being sued for. The case was eventually dismissed after 6 years and a transfer to a federal court. Says that the lawsuit was beneficial to the cause. He later talks about how cancer can be caused by eating meat and dairy and the first thing out of your diet should be dairy and then chicken.",,,,,,,,,,,,,,,,,,
127,Antonia Johasz and Greg Palast Speak about Globablization and the George W. Bush Administration,,,digitized in house,KBOO Archives Room,Mono,Minidisc,01:08:42,kboo_MD-182_20040427.mp3,kboo_MD-182_20040427.wav,347 MB,mono,wav,44.1 kHz,16 bits,65D8F9EAE099BBE4D110F7518E76B183,md5,MD-182,2004-04-27,unknown,"Antonia Juhasz, Greg Palast","Activism, Energy/Natural Resources","Antonia Johasz of the International forum on Globalization gives a technical lecture on corporate globalization. She begins by giving a brief history of herself and talking about how she is an activist. She begins talking about the economic agenda of the middle east placed there by the Bush presidency. They wanted to make Iraq a marketable place to do business, by letting foreign controlled businesses control oil and water. Bush wanted a Middle East free trade agreement by 2015. Says that it is in everyone in the U.S. best interest is to not re-elect Bush. Next to speak is Greg Palast who starts with a few Bush family jokes about supporting Al-Queda. He then continues to talk about Grover Norquist and a piece of lobbying he wrote about Iraq. He then speaks about Democracy being brought to Iraq and how unrealistic it was. He then talks about //puppet governments// in both America and Iraq. He talks about voting rights in Florida and how Black people were not allowed to vote.",,Non-Saleable,,,,,,,,,,,,,,,,
126,AAPM Conference with Dr. Helen Caldicott speaking on Nuclear Power and Global Warming,,KBOO,digitized in house,KBOO Archives Room,Stereo,Minidisc,01:20:56,kboo_MD-181.mp3,kboo_MD-181.wav,817 MB,stereo,wav,44.1 kHz,16 bits,1EA93D90C6AD271BA7B7066500102FB8,md5,MD-181,,unknown,Dr. Helen Caldicott,"Science/Technology, Energy/Natural Resources","American Association of Physicist in Medicine (AAPM) Conference with Dr. Helen Caldicott speaking on the effects of nuclear power and global warming. She touches on topics including the sexual undertones of nuclear technology, the effects of nuclear development on children, cancer caused by nuclear plants, nuclear genocide and how America treated the Japanese people affected by Fatman and Little Boy. Speech ends at ~1:04:00 followed by a Q&A.",,Non-Saleable,,,,,,,,,,,,,,,,
125,"Project Clean Slate, Clearing Minor Crimes from Your Record",,KBOO,digitized in house,KBOO Archives Room,Stereo,Minidisc,02:13:05,kboo_MD-180_20050707.mp3,kboo_MD-180_20050707.wav,1.31 GB,stereo,wav,44.1 kHz,16 bits,5CB5C0E97C8D60ABB3459530F3D433C9,md5,MD-180,2005-07-07,unknown,"Mike Shrunk, Billy Roberson, Jo Ann Bowman","Law/Court/Crime, Activism, Community","Tracks 1&2 are KBOO morning news. Track 3 is an Episode of Voices From the Edge hosted by Joann Bowman that focuses on Project Clean Slate, which is a project for people with minor criminal records to come and possibly have their records cleared. Call in topics include expanding this project, how to have your children's records cleared, and many other questions about minor crimes.",,Saleable,,,,,,,,,,,,,,,,
124,Black History Month Lecture by Cornel West at Reed College,,KBOO,digitized in house,KBOO Archives Room,Mono,Minidisc,01:48:16,kboo_MD-179_20050218.mp3,kboo_MD-179_20050218.wav,546 MB,mono,wav,44.1 kHz,16 bits,7CE4F6F94E72C28A76D94204BD0A2DE2,md5,MD-179,2005-02-18,unknown,"Marc Scheiberg, Cornel West","Civil Rights/Human Rights, African American, Arts/Culture, History","Cornel West speaks at a Black History Month lecture hosted by the Sociology Department at Reed College's Kaul Auditorium in Portland, Oregon. West lectures on the relationship between how Democracy Matters and Race Matters (the titles of two of his books) within American history. He discusses the legacy of Emmett Till, Mamie Till, Martin Luther King, Jr., Malcolm X, Nelson Mandela, the Highlander Folk School, and other key moments of Black History. West addresses the difference between success and greatness in the context of the Civil Right Movement.  A Q&A  follows the lecture for the last 40 minutes of the recording. West is asked about Ward Churchill and academic free speech, President George W. Bush's Faith Based Initiatives, inspiration for Black communities confronting white supremacy, the Oregon Citizens Alliance (OCA) and homophobia, how to live as a Christian in today's world, and the willingness to die out of love for someone.",,Saleable,,,,,,,,,,,,,,,,
123,Raw Interview with Angela Stokes,,KBOO,digitized in house,KBOO Archives Room,Stereo,Minidisc,00:28:12,kboo_MD-178_20060928.mp3,kboo_MD-178_20060928.wav,285 MB,stereo,wav,44.1 kHz,16 bits,EBFCB838270F6C2B18CA0523163E4B4B,md5,MD-178,2006-09-28,unknown,"Angela Stokes, Mel Reslor","Health, Social Services","Angela Stokes talks about her experience with raw food and how it changed her life. She was at one time considered obese with a B.M.I. of over 35. After switching to raw food she now has a B.M.I. around 22. Says raw food saved her life. She also talks about how the pharmaceutical industry controls food and when you switch to raw foods it affects local farms etc. Stokes also explains what raw food actually is, includes types of food and how to prepare it.",,Saleable,,,,,,,,,,,,,,,,
