"Resource ID(s)","itemTitle","intellectualAssetType","digitizationNomination","originalCarrierLocation","physicalFormat","condition","rightsSummary","assetIdentifier","dateType","contributor","description","rightsStatement","Subject","durationPhysical","Date","publisher","relatedInstantiationID","epsIdentifier"
164,"7-1651 title","","superdigital? (clean mold first)","KBOO Archives Room","1/4 inch audio tape","Uneven tape pack; Mold/Fungus;","Saleable","7-1651","unknown","Sybil James","note on original post-it: 9/19/90 Sibyl James tails out 36:~ min.","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution ?From KBOO Community Radio, Portland?. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","","","","","","",
163,"7-1562 title","","superdigital? (mold specks)","KBOO Archives Room","1/4 inch audio tape","Uneven tape pack; Mold/Fungus; No proper tape leader head","Saleable","7-1562","unknown","Ed Edmo","","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution ?From KBOO Community Radio, Portland?. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","Indigenous, Poetry","","","","","",
162,"1st Indian World show","","superdigital?","KBOO Archives Room","1/4 inch audio tape","","Saleable","7-1310","unknown","John Talley","","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution ?From KBOO Community Radio, Portland?. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","Indigenous","0:30:00","10/5/1977","","","",
161,"Robert Duncan, poet, reading at the Portland Art Museum, tape 3","","Superdigital?","KBOO Archives Room","1/4 inch audio tape","vinegar syndrome","Saleable","7-1140t3","","Robert Duncan (Speaker)","Tape 3. Robert Duncan, poet, reading at the Portland Art Museum","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution ?From KBOO Community Radio, Portland?. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","","","2/20/1972","","","",
160,"Robert Duncan, poet, reading at the Portland Art Museum, tape 2","","Superdigital?","KBOO Archives Room","1/4 inch audio tape","vinegar syndrome","Saleable","7-1140t2","","Robert Duncan (Speaker)","Tape 2. Robert Duncan, poet, reading at the Portland Art Museum","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution ?From KBOO Community Radio, Portland?. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","","","2/20/1972","","","",
159,"Robert Duncan, poet, reading at the Portland Art Museum, tape 1","","Superdigital?","KBOO Archives Room","1/4 inch audio tape","vinegar syndrome","Saleable","7-1140t1","unknown","Robert Duncan (Speaker)","Tape 1. Robert Duncan, poet, reading at the Portland Art Museum","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution ?From KBOO Community Radio, Portland?. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","Poetry","1:30:00","2/20/1972","","","",
158,"7-1079 title","","superdigital?","KBOO Archives Room","1/4 inch audio tape","","Saleable","7-1079","unknown","panel","Racism Conference at Portland State University","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution ?From KBOO Community Radio, Portland?. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","Race, African American, Civil Rights/Human Rights","5:00:00","10/1/1970","","","",
157,"7-1075 title","","superdigital?","KBOO Archives Room","1/4 inch audio tape","","Saleable","7-1075","unknown","Thulani Davis","wrote //1959//, varied talents in the arts","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution ?From KBOO Community Radio, Portland?. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","Fiction, African American","0:30:00","2/24/1992","","","",
156,"7-0736 title","","superdigital?","KBOO Archives Room","1/4 inch audio tape","","Saleable","7-0736","unknown","Charles Garry","BlackPanther lawyer speech in Portland","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution ?From KBOO Community Radio, Portland?. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","African American, Law/Courts/Crime","1:30:00","4/4/1970","","","",
155,"Black History on KBOO: Discussion program on Black art in Portland","","superdigital?","KBOO Archives Room","1/4 inch audio tape","","Saleable","7-0318","unknown","Rosemary Allen (KBOO Host), Pascal Landa (KBOO)","tape 4 of 4. Black art in Portland","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution ?From KBOO Community Radio, Portland?. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.","African American, Arts/Culture","0:35:00","12/1/1977","","","",
